waypoint1	waypoint2	distance_m	duration_s
Sector 27, Chandigarh	Sector 11, Chandigarh	5223	685
Sector 28, Chandigarh	Sector 11, Chandigarh	6151	810
Sector 29, Chandigarh	Sector 11, Chandigarh	7352	909
Sector 30, Chandigarh	Sector 11, Chandigarh	6600	855
Sector 11, Chandigarh	Sector 31, Chandigarh	9183	1193
Sector 32, Chandigarh	Sector 11, Chandigarh	7833	1033
Sector 33, Chandigarh	Sector 11, Chandigarh	7766	1065
Sector 34, Chandigarh	Sector 11, Chandigarh	6543	870
Sector 35, Chandigarh	Sector 11, Chandigarh	5617	718
Sector 36, Chandigarh	Sector 11, Chandigarh	4638	601
Sector 37, Chandigarh	Sector 11, Chandigarh	4668	626
Sector 38, Chandigarh	Sector 11, Chandigarh	5851	745
Sector 39, Chandigarh	Sector 11, Chandigarh	7440	905
Sector 40, Chandigarh	Sector 11, Chandigarh	6603	813
Sector 11, Chandigarh	Sector 41, Chandigarh	6137	785
Sector 42, Chandigarh	Sector 11, Chandigarh	6349	773
Sector 43, Chandigarh	Sector 11, Chandigarh	6945	906
Sector 44, Chandigarh	Sector 11, Chandigarh	7996	1076
Sector 45, Chandigarh	Sector 11, Chandigarh	8667	1110
Sector 12, Chandigarh	Sector 13, Chandigarh	9680	1270
Sector 12, Chandigarh	Sector 14, Chandigarh	2778	501
Sector 12, Chandigarh	Sector 15, Chandigarh	2970	479
Sector 16, Chandigarh	Sector 12, Chandigarh	3375	538
Sector 17, Chandigarh	Sector 12, Chandigarh	4001	598
Sector 12, Chandigarh	Sector 18, Chandigarh	5021	758
Sector 12, Chandigarh	Sector 19, Chandigarh	5531	812
Sector 12, Chandigarh	Sector 20, Chandigarh	7120	1091
Sector 21, Chandigarh	Sector 12, Chandigarh	6292	951
Sector 22, Chandigarh	Sector 12, Chandigarh	5633	859
Sector 12, Chandigarh	Sector 23, Chandigarh	4496	654
Sector 12, Chandigarh	Sector 24, Chandigarh	4375	677
Sector 25, Chandigarh	Sector 12, Chandigarh	4084	556
Sector 26, Chandigarh	Sector 12, Chandigarh	6528	828
Sector 12, Chandigarh	Sector 27, Chandigarh	6355	927
Sector 12, Chandigarh	Sector 28, Chandigarh	7283	1053
